Electricity Pricing [$/kWh],1h Prediction Electricity Pricing [$],2h Prediction Electricity Pricing [$],3h Prediction Electricity Pricing [$]
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
0.04582,0.04582,0.04582,0.04582
